1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Genre;Reseller;Project;Product;Title;GenreName;Run;RunNumber;Season;CapitalizationDate;NumberOfAmortizations;AmortizationFrequency;CumulativeCostInLocalCurrency;CumulativeLocalCurrency;CumulativeCostInContractCurrency;CumulativeContractCurrency;TotalCostInLocalCurrency;TotalLocalCurrency;TotalCostInContractCurrency;TotalContractCurrency;AmortizationType;ContractID;Creditor;ProductionNumber;Profit_Center;WBS_Nr;Asset_Nr;MinimumExploitationStartDate;MaximumExploitationEndDate
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200109159;Adulterer, The III;Thriller, action 6.2.2.3;Run;1;3;25.8.2023;30;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202109213;GSN INTERNATIONAL LIMITED;2002200737;370134;T1-09334-00003;;1.8.2023;31.1.2026
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;500716931;Bäckström II;Crime/Police;Run;1;2;25.2.2022;13;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;B202006120;YELLOW BIRD AB;3142000109;370134;T1-02256-00008;;28.2.2022;28.2.2032
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;500716996;Mystery Road II;Crime/Police;Run;1;2;25.1.2023;24;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202210252;ALL3MEDIA INTERNATIONAL LIMITED;2002000116;370134;T1-01886-00005;;1.1.2023;31.12.2024
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;200087915;Bäckström III;Crime/Police;Run;1;3;30.4.2025;48;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;B202109210;YELLOW BIRD AB;3142100669;370134;T1-09099-00003;;1.4.2024;31.3.2034
T1-INC03 International Movies;OTTOTH (OTT Other SE);;500236875;Tinker, Tailor, Soldier, Spy;Thriller 7.2.3;Run;1;;25.3.2023;19;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202107189;SF;2000004212;370134;T1-07035-00003;;15.9.2021;14.9.2024
T1-INC03 International Movies;OTTOTH (OTT Other SE);;500554381;Long Way Down, A;Comedy 7.2.2;Run;1;;25.2.2023;18;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202107189;SF;2001500308;370134;T1-09611-00003;;1.2.2023;31.7.2024
T1-INC02 International Non-scripted;OTTOTH (OTT Other SE);;200116887;American Auto II;Comedy 6.2.2.2;Run;1;2;25.5.2023;24;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202203069;NBC UNIVERSAL;2002300162;370134;T1-09941-00003;;1.5.2023;30.4.2025
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;200080438;Huvudjägarna/Headhunters;Crime/Police;Run;1;1;25.10.2023;48;Monthly;1;SEK;1;NOK;1;SEK;1;NOK;Straight line;B202105108;YELLOW BIRD NORGE AS;3142100402;370134;T1-07678-00006;;10.10.2022;9.10.2032
T1-INC03 International Movies;OTTOTH (OTT Other SE);;200078234;Hundred-Foot Journey, The;Comedy 7.2.2;Run;1;;25.1.2024;12;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202310196;NORDISK FILM DISTRIBUTION A/S;7402100320;370134;T1-06471-00008;;1.1.2024;31.12.2024
T1-INC03 International Movies;OTTOTH (OTT Other SE);;200128823;Deepwater Horizon;True stories, docudrama, historic;Run;1;;25.12.2023;12;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202310196;NORDISK FILM DISTRIBUTION A/S;2002300629;370134;T1-10634-00003;;1.12.2023;30.11.2024
T1-DOS02 Domestic scripted movies;OTTOTH (OTT Other SE);;500717714;Beck - Utom rimligt tvivel;Crime/Police;Run;1;;25.11.2021;48;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;C202002009;NORDISK FILM PRODUCTION SVERIGE AB;3142000128;370134;T1-02258-00003;;1.12.2020;31.12.2027
T1-INC03 International Movies;OTTOTH (OTT Other SE);;500702692;Commuter, The;Action 7.2.4;Run;1;;25.3.2023;19;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202107189;SF;2001900341;370134;T1-01793-00005;;15.9.2021;14.9.2024
T1-INC03 International Movies;OTTOTH (OTT Other SE);;200108722;Spring Uje spring;True stories, docudrama, historic;Run;1;;25.12.2022;24;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202009165;TriArt Film;2002200718;370134;T1-09264-00003;;1.12.2022;30.11.2024
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200009002;Good Wife, The VII;Other 6.2.2.99;Run;1;7;25.11.2021;36;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202109207;CBS BROADCASTING INTERNATIONAL;3161502444;370134;T1-07212-00003;;1.11.2021;30.10.2024
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200099530;Callboys I;Comedy 6.2.2.2;Run;1;1;25.7.2022;30;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202109213;GSN INTERNATIONAL LIMITED;2002200374;370134;T1-08761-00003;;1.7.2022;31.12.2024
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200109151;A French Case I;Crime/Police;Run;1;1;25.8.2023;30;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202109213;GSN INTERNATIONAL LIMITED;2002200736;370134;T1-09333-00003;;1.8.2023;31.1.2026
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;500729394;Wild kids II;Drama series;Run;1;2;25.1.2022;25;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;C202006043;JAROWSKIJ ENTERPRISES AB;3152090030;370134;T1-02486-00004;;15.1.2021;14.1.2024
